英文,谷歌翻译,引用数量？
dragon quest iv,勇者斗恶龙 iv,1553
lysithea von ordelia,丽西娅·冯·奥德利亚,1552
cockpit,驾驶舱,1551
bardiche,巴迪切,1550
ceiling light,吸顶灯,1548
gloved handjob,戴手套的打手枪,1548
hakos baelz,哈科斯·贝尔茨,1548
hitachi magic wand,日立魔杖,1548
loose clothes,宽松的衣服,1548
poncho,雨披,1548
tomose shunsaku,友色俊作,1548
earpiece,听筒,1547
hiro (darling in the franxx),hiro（弗兰克斯的宠儿）,1547
sakamoto mio,坂本澪,1547
body hair,体毛,1546
mima (touhou),mima (东方),1546
cafe,咖啡厅,1543
condom packet strip,安全套包条,1543
ginhaha,银花,1543
pond,池塘,1542
spoken sweatdrop,口语汗滴,1542
stripper pole,脱衣舞杆,1542
yowane haku,妖尾白,1542
taisa (kari),泰莎 (kari),1540
akatsuki kirika,晓桐花,1539
butler,管家,1539
faucet,水龙头,1539
index (toaru majutsu no index),指数（toaru majutsu no index）,1539
mabinogi,马比诺吉,1539
anti-materiel rifle,反器材步枪,1538
haikyuu!!,呸呸呸！！,1538
dirty clothes,脏衣服,1537
koizumi itsuki,小泉五月,1537
senpai ga uzai kouhai no hanashi,前辈 ga uzai kouhai no hanashi,1537
spitting,随地吐痰,1536
doyagao,多亚高,1533
lilith aensland,莉莉丝安斯兰,1533
sinon,诗乃,1533
fishing,钓鱼,1532
aegis (persona),宙斯盾（角色）,1531
holding controller,控股控制器,1531
alternate form,替代形式,1530
nanashi (nlo),七无 (nlo),1530
straitjacket,紧身衣,1530
tama (kancolle),多摩 (kancolle),1530
low twin braids,低双辫子,1529
pepperoni (girls und panzer),意大利辣香肠（女孩和装甲）,1529
mirko,米尔科,1528
silence suzuka (umamusume),沉默铃鹿 (umamusume),1528
saiguchi otoufu,西口大头布,1527
lucky beast (kemono friends),幸运兽（kemono朋友）,1526
no wings,没有翅膀,1526
birdcage,鸟笼,1525
dove,鸽子,1524
last order (toaru majutsu no index),最后的订单（toaru majutsu no index）,1524
cheating (relationship),作弊 (关系),1521
javelin (azur lane),标枪（碧蓝航线）,1521
kyoukaisenjou no horizon,京海战无地平线 1521,1521
shinomiya kaguya,四宫辉夜1521,1521
noshiro (kancolle),noshiro (kancolle),1519
champagne flute,香槟长笛,1518
mace,狼牙棒,1518
selfcest,自我,1518
multicolored bikini,五彩比基尼,1517
nia (xenoblade),尼亚（异形之刃）,1517
shima rin,岛凛,1517
morpeko,莫尔佩科,1516
tsunomaki watame,tsunomaki watame,1516
enkyo yuuichirou,圆桥悠一郎,1515
teruzuki (kancolle),照月 (kancolle),1515
suzuran (arknights),铃兰（方舟）,1514
variations,变化,1514
bandage on face,绷带在脸上,1512
belko,贝尔科,1512
surprise kiss,惊喜之吻,1511
aqua ribbon,水色丝带,1510
full nelson,全纳尔逊,1510
morikubo nono,森久保诺诺 1510,1510
winged helmet,带翼头盔,1510
alley,胡同,1509
sparks,火花,1509
freediving,自由潜水,1508
on grass,在草地上,1508
gojou satoru,五条悟,1507
tachibana hibiki (symphogear),tachibana hibiki (symhogear),1507
parted hair,分头发,1506
ink,墨水,1505
looking at phone,看手机,1505
suzukaze (kancolle),铃风 (kancolle),1505
deviantart username,deviantart 用户名,1504
cowboy western,西部牛仔,1503
cracked skin,龟裂的皮肤,1503
dolphin,海豚,1503
drone,无人机,1502
fewer digits,更少的数字,1502
mixed media,混合媒体,1501
voyakiloid,voyakiloid,1501
grey socks,灰色袜子,1500
futanari masturbation,futanari 手淫,1499
after kiss,接吻后,1498
crescent facial mark,新月面部标记,1498
tickling,挠痒痒的,1498
black lagoon,黑礁湖,1497
pain,痛苦,1497
sonia (pokemon),索尼娅 (口袋妖怪),1497
hilda valentine goneril,希尔达情人节 goril,1496
missile,导弹,1496
artificial vagina,人造阴道,1495
mizuno ami,美津浓 ami,1495
yume nikki,梦nikki,1495
briefcase,公文包,1494
kannagi,神奈木,1494
purple sky,紫色天空,1494
thick arms,粗壮的手臂,1494
yayoi (kancolle),弥生 (kancolle),1494
yellow vest,黄色背心,1494
mask pull,面罩拉,1493
rosalina,罗莎琳娜,1493
spider,蜘蛛,1493
brown sailor collar,棕色水手领,1492
circle name,圈子名称,1492
hanamura yousuke,花村洋介,1492
on person,对人,1492
plectrum,拨片,1491
pocky kiss,百奇吻,1490
brushing hair,梳头,1489
hina (blue archive),hina (蓝色档案),1489
kirino ranmaru,桐野兰丸,1489
pussy juice puddle,猫 汁 水坑,1488
roller skates,旱冰鞋,1488
shin megami tensei,shin megami 紧张,1488
signum,签名,1488
tanabata,七夕,1488
torpedo tubes,鱼雷发射管,1488
aqua bowtie,水色领结,1487
gorget,护颈,1487
hands on own thighs,双手放在自己的大腿上,1487
mimikaki,模仿,1487
agawa ryou,阿川凉,1486
eastern dragon,东方龙,1486
tube,管,1486
hisona (suaritesumi),hisona (suaritesumi),1485
holding syringe,手持注射器,1485
makoto nanaya,七谷诚,1485
milkpanda,牛奶熊猫,1485
pripara,pripara,1485
shinsengumi,新选组,1485
shirayuki (kancolle),白雪 (kancolle),1485
confession,表白,1484
miyo (ranthath),miyo (ranthath),1484
sitting in tree,坐在树上,1484
frilled capelet,褶边披肩,1483
holly,冬青树,1483
green gemstone,绿色宝石,1482
kuromorimine school uniform,黑森峰校服,1482
pokemon go,宠物小精灵去,1482
gotland (kancolle),哥特兰 (kancolle),1481
light areolae,浅色乳晕,1481
rubble,瓦砾,1480
leg belt,腿带,1479
yuuji (and),雄二 (和),1479
dark souls i,黑暗之魂 i,1478
hanasaki tsubomi,花崎 tsubomi,1478
holding hammer,拿着锤子,1478
hooves,蹄子,1478
pole dancing,钢管舞,1478
yellow-framed eyewear,黄框眼镜,1478
avatar (series),头像（系列）,1477
implied futanari,隐含的 futanari,1477
andou (girls und panzer),安藤（少女与装甲）,1476
asashio kai ni (kancolle),asashio kai ni (kancolle),1476
fellatio gesture,口交手势,1476
love live! superstar!!,爱生活！超级巨星！！,1476
mattaku mousuke,mattaku musuke,1476
skull print,骷髅印花,1476
white horns,白角,1476
bird on hand,手头上的鸟,1475
free!,免费！,1475
kuroshio (kancolle),黑潮 (kancolle),1474
yuureidoushi (yuurei6214),yuureidoushi (yuurei6214),1474
noel vermillion,诺埃尔朱红,1473
pokemon xy (anime),宠物小精灵 xy (动漫),1473
thighhighs pull,大腿拉,1473
sticker,贴纸,1472
asui tsuyu,asui tsuyu,1471
character print,字符打印,1471
patch,补丁,1471
blue apron,蓝色围裙,1470
breast curtain,胸帘,1470
barcode tattoo,条码纹身,1469
fine fabric emphasis,精细面料强调,1469
my little pony,我的小马驹,1469
holding drink,拿着饮料,1468
rotom,罗托姆,1468
tales of graces,恩典的故事,1468
wooden sword,木剑,1468
breasts on head,头上的乳房,1467
deer ears,鹿耳,1467
dress tug,拖船,1467
frilled ribbon,褶边丝带,1467
yasogami school uniform,yasogami 校服,1467
x x,xx,1466
chiyoda momo,千代田桃子,1465
matou kariya,间桐刈谷,1465
overskirt,超短裙,1465
beam rifle,光束步枪,1464
impossible dress,不可能的衣服,1464
breast smother,乳房窒息,1463
kizuna ai inc.,kizuna ai inc.,1463
kill me baby,杀了我宝贝,1461
nail art,美甲,1461
producer (idolmaster cinderella girls anime),制作人（偶像大师灰姑娘女孩动漫）,1461
seiken densetsu 3,精研密苏 3,1461
phosphophyllite,磷叶石,1460
scarlet devil mansion,赤魔府,1460
super robot,超级机器人,1460
alice gear aegis,爱丽丝齿轮宙斯盾,1459
purple sailor collar,紫色水手领,1459
dragon ball (classic),龙珠（经典）,1458
gundam tekketsu no orphans,高达 tekketsu no orphans 1458,1458
oda nobunaga (koha-ace),织田信长 (koha-ace),1458
wa (genryusui),wa (genryusui),1458
cabinet,橱柜,1457
coral,珊瑚,1457
cousins,表兄弟,1457
eye focus,眼睛焦点,1457
high-waist pants,高腰裤,1457
the legend of luo xiaohei,洛小黑传奇,1457
matsuno karamatsu,松野唐松,1456
helm,掌舵,1455
shiomi syuko,潮见秀子,1455
m-da s-tarou,m-da s-太郎,1454
through clothes,穿过衣服,1454
inuyasha,犬夜叉,1452
multicolored swimsuit,五彩泳衣,1452
song name,歌曲名称,1452
aerial fireworks,空中烟花,1451
pink hoodie,粉色连帽衫,1451
saber lily,剑百合,1451
fanny pack,腰包,1450
puffy shorts,蓬松短裤,1450
tracer (overwatch),示踪剂（守望先锋）,1450
urusei yatsura,八浦玖瑄,1450
sen no kiseki,千之轨迹,1449
tokyo 7th sisters,东京七姐妹,1449
buck teeth,龅牙,1448
kasumi (doa),霞 (doa),1448
ak-12 (girls' frontline),ak-12（少女前线）,1447
baseball uniform,棒球服,1447
biker clothes,机车服,1446
star halo,星光晕,1446
swing,秋千,1446
world of warcraft,魔兽世界,1446
adjusting gloves,调节手套,1445
puchimasu!,puchimasu!,1445
eye mask,眼罩,1444
shiomi kotone,潮美琴音,1444
spring (season),春天（季节）,1444
zeta gundam,zeta高达1443,1443
luigi's mansion,路易吉的豪宅,1442
reflective floor,反光地板,1442
st. louis (azur lane),英石。路易斯（碧蓝航线）,1442
confused,困惑,1441
otonashi kotori,音无琴里,1441
fate/extella,命运/extella,1440
flexing,弯曲,1440
legwear garter,裤袜吊袜带,1440
leopard ears,豹耳,1440
palms,手掌,1440
see-through leotard,透明紧身衣,1440
tarot,塔罗牌,1440
very long fingernails,很长的指甲,1440
yellow thighhighs,黄色长筒袜,1440
fortissimo,强音,1439
asashimo (kancolle),朝下 (kancolle),1438
sumiyao (amam),sumiyao (amam),1438
menu,菜单,1437
n (pokemon),n (口袋妖怪),1437
ribbon bondage,丝带束缚,1437
seigaiha,西盖哈,1437
holding pencil,拿着铅笔,1436
incoming gift,收到的礼物,1436
kizuna ai,绊爱,1436
upscaled,升级,1436
2014,2014,1435
\\||/,\\||/,1435
grabbing another's chin,抓住别人的下巴,1435
matsuno jyushimatsu,松野十生松,1435
shimazaki mujirushi,岛崎无印,1435
insect wings,昆虫翅膀,1434
minamino kanade,南野金手,1434
red armor,红色盔甲,1434
tangzhuang,唐庄,1434
kalashnikov rifle,卡拉什尼科夫步枪,1433
brown capelet,棕色披肩,1432
lord el-melloi ii case files,el-melloi 勋爵 ii 案卷,1432
my-hime,我的姬,1432
seiran (touhou),晴岚（东方）,1432
beni shake,贝尼摇,1431
hair in mouth,嘴里有头发,1431
lio fotia,里奥福蒂亚,1431
magatama earrings,magatama 耳环,1431
plaid background,格子背景,1431
red socks,红袜子,1431
starry sky print,星空印花,1431
sword art online: code register,刀剑神域：代码寄存器,1431
hataraku saibou,hataraku saibou,1430
naginata,薙刀,1430
aino minako,爱野美奈子,1429
cucumber,黄瓜,1429
horikawa raiko,堀川来子,1429
in the face,面对,1429
polka dot dress,波点连衣裙,1429
matsuno ichimatsu,松野市松,1428
matsuno osomatsu,松野小松,1427
hair brush,毛刷,1425
moroboshi kirari,诸星kirari,1425
breasts on glass,玻璃上的乳房,1424
german clothes,德国衣服,1424
after paizuri,在 paizuri,1423
green-framed eyewear,绿框眼镜,1423
naked jacket,裸外套,1423
radio antenna,无线电天线,1422
suzumiya haruhi no shoushitsu,凉宫春日的少年,1420
worried,担心,1419
bow-shaped hair,弓形头发,1418
star twinkle precure,星闪烁预固化剂,1418
cherry blossom print,樱花印花,1417
kamiya nao,神谷直,1417
leaning on object,靠在物体上,1417
hanyuu,羽生结弦,1416
sugar lyric,糖歌词,1416
marker,标记,1415
pencil dress,铅笔裙,1415
pokemon on head,头上的口袋妖怪,1414
dragon quest v,勇者斗恶龙 v,1413
tales of the abyss,深渊的故事,1413
beckoning,招手,1411
crotch plate,胯板,1411
dowsing rod,探矿棒,1411
kaedehara kazuha,枫原和叶,1411
leaf (pokemon),叶（口袋妖怪）,1411
ningguang (genshin impact),宁光（原神冲击）,1411
toga himiko,长袍姬子,1411
dodoco (genshin impact),dodoco（原神冲击）,1410
gabriel dropout,加布里埃尔辍学,1410
lip piercing,唇环,1410
lucario,路卡利欧,1410
stuck,卡住,1410
hand on thigh,手放在大腿上,1409
role reversal,角色互换,1409
chocolate bar,巧克力棒,1408
messy,凌乱,1408
oumae kumiko,大前久美子,1408
mimura kanako,三村加奈子,1407
moon (ornament),月亮（饰品）,1407
star necklace,星星项链,1407
white suit,白色西装,1407
autobot,汽车人,1406
rensouhou-kun,仁搜厚坤,1406
arashio (kancolle),岚尾 (kancolle),1405
cross scar,十字疤痕,1405
hugtto! precure,拥抱！预固化剂,1405
teasing,戏弄,1405
faux figurine,人造雕像,1404
frozen (disney),冷冻（迪士尼）,1404
horned helmet,角盔,1404
lounge chair,休闲椅,1404
o-ring choker,O 型圈扼流圈,1404
senjou no valkyria (series),千条的女武神（系列）,1404
skin fangs,皮肤獠牙,1404
tamako market,玉子市场,1404
bondage outfit,束缚装,1403
ha akabouzu,ha akabouzu,1403
monsterification,怪物化,1403
projected inset,预计插图,1403
ayanami (kancolle),绫波 (kancolle),1402
komi-san wa komyushou desu,komi-san wa komyushou desu,1402
untucked shirt,未掖衬衫,1402
embellished costume,装饰服装,1401
gem (symbol),宝石（符号）,1401
jinx (league of legends),厄运（英雄联盟）,1401
poke ball symbol,戳球符号,1401
sendai hakurei no miko,仙台博丽的巫女 1401,1401
sorcerer's sutra scroll,巫师经卷,1401
patchwork skin,拼布皮,1400
yae sakura,八重樱,1400
bad drawr id,错误的抽屉 ID,1399
crease,折痕,1399
fish girl,鱼姑娘,1399
torn,撕裂,1399
claw (weapon),爪（武器）,1398
heckler & koch,黑克勒和科赫,1398
mechanical pencil,自动铅笔,1398
sendai kai ni (kancolle),仙台凯妮 (kancolle),1398
darkness (konosuba),黑暗 (konosuba),1397
hakurei reimu (cosplay),博丽灵梦 (cosplay),1397
souseiseki,苏生石,1397
creayus,奶油,1396
milk carton,牛奶盒,1396
bamboo broom,竹扫帚,1395
barbell piercing,杠铃穿孔,1395
hachimiya meguru,八宫巡视,1395
peeking,偷看,1395
pink vest,粉色背心,1395
shikigami,式神,1395
yorha no. 9 type s,约哈没有。 9型s,1395
isuzu (kancolle),五十铃 (kancolle),1394
wheel,轮子,1394
artoria pendragon (lancer alter) (fate),artoria pendragon (lancer alter) (fate),1393
color connection,颜色连接,1393
magi the labyrinth of magic,魔法迷宫 1393,1393
misumi nagisa,渚美澄,1393
sakata gintoki,坂田银时,1393
tactical clothes,战术服,1393
red hoodie,红色连帽衫,1392
suzutsuki (kancolle),铃木 (kancolle),1392
strapless shirt,露肩衬衫,1391
tokusatsu,特摄,1391
unconscious,无意识,1391
blinds,百叶窗,1389
chandelier,吊灯,1389
felicia (vampire),费利西亚（吸血鬼）,1389
ushiwakamaru (fate),牛若丸（命运）,1389
chain leash,链带,1388
wooden wall,木墙,1388
see-through dress,透视连衣裙,1387
two-handed,双手,1387
bishamonten's pagoda,毗沙门天佛塔,1386
dagashi kashi,达加什喀什,1386
hikimayu,曳麻汤,1386
i-class destroyer,i级驱逐舰,1386
japanese crested ibis (kemono friends),日本朱鹮 (kemono friends),1386
polo shirt,马球衫,1386
ofuda on clothes,衣服上的ofuda,1385
sakurai momoka,樱井桃香,1385
agano (kancolle),agano (kancolle),1384
german text,德语文本,1384
hand on own leg,手放在自己的腿上,1384
toosaka asagi,大坂朝木,1384
yamamoto souichirou,山本宗一郎,1383
bikini top removed,比基尼上装已移除,1382
drill locks,钻锁,1382
single pauldron,单肩甲,1382
stiletto heels,细高跟鞋,1382
white sash,白色腰带,1382
latex bodysuit,乳胶紧身连衣裤,1381
orange legwear,橙色裤袜,1381
hagoita,hagoita,1380
icho private high school uniform,icho私立高中校服,1380
sunburst background,旭日形背景,1380
lusamine (pokemon),lusamine (口袋妖怪),1379
park bench,公园长椅,1379
princess king boo,公主王嘘,1379
watatsuki no yorihime,watatsuki no yorihime,1379
video game,电子游戏,1378
large insertion,大插入,1377
leg hold,腿托,1377
nishizumi shiho,西泉志保,1377
old woman,老女人,1377
rappa (rappaya),拉帕（拉帕亚）,1377
danganronpa 3 (anime),弹丸论破 3 (动漫),1376
greatsword,巨剑,1376
high-waist shorts,高腰短裤,1375
leafa,叶,1375
striped gloves,条纹手套,1375
circled 9,盘旋 9,1374
ensemble stars!,合奏明星！,1373
kinugasa (kancolle),衣笠 (kancolle),1373
staff (music),工作人员（音乐）,1372
neocoill,新线圈,1371
bowing,鞠躬,1369
elite ii (arknights),精英 ii (arknights),1368
fireflies,萤火虫,1368
robin (fire emblem) (female),知更鸟（火徽）（女）,1368
ushanka,乌尚卡,1368
cupless bra,无罩杯文胸,1367
northern white-faced owl (kemono friends),北方白面鸮（kemono 朋友）,1367
rosehip (girls und panzer),玫瑰果（女孩和装甲）,1366
spiked tail,尖尾,1366
fingers,手指,1365
futa with futa,富达与富达,1365
harem outfit,后宫装,1365
suppressor,抑制器,1364
groin tendon,腹股沟肌腱,1363
hojo karen,北条卡伦,1363
holstered weapon,枪套武器,1363
red cross,红十字会,1363
black robe,黑袍,1362
cuddling,拥抱,1362
health bar,健康栏,1362
leotard pull,紧身衣拉,1361
lipstick tube,口红管,1361
plaid bowtie,格子领结,1361
viera,维埃拉,1361
instrument case,仪器箱,1360
pentacle,五角星,1360
cosplay photo,角色扮演照片,1359
has censored revision,已审查修订,1359
holding whip,拿着鞭子,1359
konoshige (ryuun),konoshige (ryuun),1359
eagle,老鹰,1358
hexagon,六角形,1358
yu-gi-oh! 5d's,游戏王哦！ 5d,1358
checkerboard cookie,棋盘饼干,1357
green hoodie,绿色连帽衫,1357
holding sack,拿着麻袋,1357
holostars,全息星,1357
mars symbol,火星符号,1357
naked hoodie,裸连帽衫,1357
ohara mari,大原玛丽,1357
ribbon-trimmed collar,缎带边领,1357
taut dress,紧身连衣裙,1356
hirasawa ui,平泽ui,1355
kusazuri,草折,1355
mei (overwatch),梅（守望先锋）,1355
ushiromiya ange,ushiromiya angel,1355
spine,脊柱,1354
yuuhagi (amaretto-no-natsu),yuuhagi (amaretto-no-natsu),1354
choko (cup),choko (杯子),1353
gensou suikoden,幻草水光传,1353
gold hairband,金色发带,1353
libeccio (kancolle),libeccio (kancolle),1352
pageratta,佩拉塔,1352
gamagoori ira,gamagoori ira,1351
mahjong,麻将,1351
ramune,雷蒙,1351
shallow water,浅水,1351
funami yui,船见结衣,1350
ghost in the shell,攻壳机动队,1350
gold earrings,金耳环,1349
mikazuki munechika,三日月宗近,1348
chanta (ayatakaoisii),chanta (ayatakaoisii),1347
holding stick,手杖,1346
xenosaga,异种传说,1346
ayu (mog),香鱼 (mog),1345
yoimiya (genshin impact),yoimiya (genshin Impact),1345
different reflection,不同的反射,1344
twitter,推特,1344
wisteria,紫藤,1344
single gauntlet,单手套,1343
crazy smile,疯狂的微笑,1342
hatsune miku (append),初音未来（追加）,1342
matsuryuu,松龙,1341
pacifier,奶嘴,1341
saren (princess connect!),莎伦（公主连接！）,1341
edward elric,爱德华·埃里克,1340
nontraditional playboy bunny,非传统花花公子兔子,1340
red cloak,红色斗篷,1340
head between breasts,两乳之间的头,1339
monokuma,Monokuma,1339
levi (shingeki no kyojin),列维 (shingeki no kyojin),1338
little red riding hood,小红帽,1338
sakugawa school uniform,sakugawa 校服,1338
visible air,可见空气,1338
eternity larva,永恒幼虫,1337
fallen down,跌倒了,1337
fff threesome,fff 三人行,1337
kirigaya suguha,桐谷直叶,1337
notepad,记事本,1337
reach-around,到达周围,1337
graveyard,墓地,1336
japanese flag,日本国旗,1336
power suit,动力套装,1336
puffy detached sleeves,蓬松的分离袖,1336
strap-on,绑带式,1336
artoria pendragon (alter swimsuit rider) (fate),artoria pendragon (alter 泳装骑士) (fate),1335
painting (action),绘画（动作）,1335
whipped cream,生奶油,1335
itadori yuuji,板取雄二,1334
kagura (gintama),神乐 (银魂),1334
yellow cardigan,黄色开衫,1334
fate/unlimited codes,命运/无限代码,1333
neon lights,霓虹灯,1333
oshida (girls und panzer),oshida (少女与装甲),1333
harukawa maki,春川真纪,1332
kawakaze (kancolle),川风 (kancolle),1332
musashi kai ni (kancolle),musashi kai ni (kancolle),1332
tokisaki kurumi,时崎久留美,1332
tulip hat,郁金香帽,1332
gundam unicorn,高达独角兽 1331,1331
kissing forehead,亲吻额头,1331
love letter,情书,1331
morpeko (full),morpeko (满),1330
beach chair,沙滩椅,1329
mega man x (series),洛克人 x (系列),1329
sword over shoulder,剑在肩上,1329
dinosaur,恐龙,1328
tonda,通达,1328
bear hair ornament,小熊头饰,1327
office,办公室,1327
pani poni dash!,pani poni dash!,1327
special week (umamusume),特别周 (umamusume),1327
bayonetta (series),刺刀（系列）,1326
raimon,雷蒙,1326
ribbon in mouth,丝带在嘴里,1324
vshojo,vshojo,1324
blueberry,蓝莓,1323
green neckerchief,绿色围巾,1323
holding leash,牵着皮带,1323
mother (game),妈妈（游戏）,1323
nyantype,nyantype,1323
rotational symmetry,旋转对称,1323
simplified chinese text,简体中文文本,1323
honolulu (azur lane),檀香山（碧蓝航线）,1322
sincos,辛科斯,1322
kibito high school uniform,kibito 高中制服,1321
kirakira precure a la mode,kirakira precure a la mode,1320
truth,真相,1320
arm between breasts,乳房之间的手臂,1319
bremerton (scorching-hot training) (azur lane),布雷默顿（酷热训练）（碧蓝航线）,1319
lum,流明,1319
spiked shell,尖刺外壳,1318
widowmaker (overwatch),寡妇制造者（守望先锋）,1318
angelina (arknights),安吉丽娜（方舟之夜）,1317
centaur,半人马,1317
kamui gakupo,神威学派,1317
pussy piercing,猫刺穿,1317
earth (ornament),土（饰品）,1316
has downscaled revision,已缩小修订,1316
playstation portable,便携式游戏机,1316
other focus,其他焦点,1315
ramlethal valentine,ramlethal 情人节,1315
tera online,太极在线,1315
air conditioner,空调,1314
perineum,会阴部,1314
sakura taisen,樱花大战,1314
skyla (pokemon),斯凯拉（口袋妖怪）,1314
wing hair ornament,翼发饰,1314
dengeki moeou,电击萌欧,1313
mascot,吉祥物,1312
onmyoji,阴阳师,1312
tohru (maidragon),tohru (maidragon),1312
cure peace,治愈和平,1311
collared cape,有领斗篷,1310
ebi 193,ebi 193,1310
francesca lucchini,弗朗西斯卡卢奇尼,1310
reindeer costume,驯鹿服装,1310
caressing testicles,爱抚睾丸,1309
isonami (kancolle),矶波 (kancolle),1309
kiyosumi school uniform,清澄校服,1309
sweatshirt,运动衫,1309
tail censor,尾审查器,1309
dog days,三伏天,1307
purple heart,紫心,1307
tan background,棕褐色背景,1307
tiger boy,老虎男孩,1307
aqua theme,水色主题,1306
kashuu kiyomitsu,kashuu 清光,1306
manhattan cafe (umamusume),曼哈顿咖啡馆 (umamusume),1306
stationary restraints,固定式约束装置,1306
2013,2013,1305
camilla (fire emblem),卡米拉（火徽）,1305
frilled cuffs,褶边袖口,1305
kishibe rohan,岸部鹿半,1305
thigh cutout,大腿镂空,1305
title,标题,1305
yd (orange maru),码（橙丸）,1305
chibi usa,赤壁美国,1304
kasugano sakura,春日野樱,1304
yang guifei (fate),杨贵妃（命运）1304,1304
ashiya douman (fate),芦屋斗满（命运）,1303
matsuno choromatsu,松野长松,1303
kujou sara,九条萨拉,1302
wolf boy,狼小子,1302
cotton candy,棉花糖,1301
leonardo da vinci (fate),莱昂纳多·达·芬奇（命运）,1301
sanshoku dango,三色团子1301,1301
boned meat,带骨肉,1300
holding needle,持针,1300
hooded sweater,连帽衫,1300
garden,花园,1299
morgan le fay (fate),摩根勒菲（命运）,1299
toranoana,托拉诺阿纳,1299
blood from eyes,眼睛里的血,1298
monkey d. luffy,猴子 D.路飞,1298
tsumiki mikan,tsumiki mikan,1298
inoue takina,井上泷菜,1297
stuffed shark,毛绒鲨鱼,1297
yagasuri,矢笠,1297
age progression,年龄增长,1296
bendy straw,弯曲稻草,1296
gengar,耿鬼,1296
ymir (shingeki no kyojin),ymir (shingeki no kyojin),1296
caution tape,警示胶带,1295
eureka seven (series),尤里卡七（系列）,1295
katahira masashi,片平正志,1294
camcorder,摄录一体机,1293
candlestand,烛台,1293
null (nyanpyoun),空 (nyanpyoun),1293
truck,卡车,1293
xenoblade chronicles 3,异种之刃编年史 3,1293
buzz cut,嗡嗡声,1292
green apron,绿色围裙,1291
spiked club,尖刺俱乐部,1290
yellow skin,黄皮,1290
agahari,阿加哈里,1289
handsfree ejaculation,免提射精,1289
martha (fate),玛莎（命运）,1289
overgrown,杂草丛生,1289
shirase sakuya,白濑咲也,1289
white-framed eyewear,白框眼镜,1288
2010,2010,1287
chocolate on body,巧克力在身体上,1287
clothed female nude female,穿衣女裸女,1287
fish hair ornament,鱼头饰,1287
fushiguro megumi,伏黑惠,1287
halberd,戟,1287
hand puppet,手偶,1287
helicopter,直升机,1287
ilya kuvshinov,伊利亚·库夫希诺夫,1287
katori (kancolle),katori (kancolle),1287
plant girl,植物女孩,1287
satou kazuma,佐藤和马,1287
the moon studio,月亮工作室,1287
uzaki-chan wa asobitai!,uzaki-chan wa asobita!,1287
palutena,帕鲁特纳,1286
untying,解开,1286
2012,2012,1285
grey necktie,灰色领带,1285
tukiwani,图基瓦尼,1285
heart tail,心尾,1284
okamisty,好的,1284
drying,烘干,1283
fujibayashi kyou,富士林镜,1283
uiharu kazari,初春花里,1283
magnifying glass,放大镜,1282
invisible penis,隐形阴茎,1281
palette (object),调色板（对象）,1281
viewer holding leash,拿着皮带的观众,1281
arm wrap,手臂套,1280
donation box,捐款箱,1279
my little pony: friendship is magic,我的小马驹：友谊就是魔法,1279
enemy aircraft (kancolle),敌机 (kancolle),1278
makizushi,卷寿司,1278
santa boots,圣诞靴,1278
flame print,火焰印花,1277
hanging,悬挂,1277
aqua shirt,水蓝色衬衫,1276
hand on another's ass,手在别人的屁股上,1276
holding shoes,抱鞋,1276
sitting on object,坐在物体上,1276
mikage takashi,御影隆,1275
morning,早上,1275
nijigasaki academy school uniform,nijigasaki学院校服,1275
tall female,高个子女性,1274
ar tonelico,阿尔托内利科,1273
artoria pendragon (swimsuit ruler) (fate),artoria pendragon (泳装尺) (fate),1273
butcha-u,布查-u,1273
ringo (touhou),ringo (东方),1273
vibrator under panties,振动器 下 内裤,1273
wiping tears,擦眼泪,1273
silver fox (kemono friends),银狐 (kemono 朋友),1272
mechanization,机械化,1271
pawpads,爪垫,1271
back-seamed legwear,背缝裤袜,1269
head chain,头链,1269
puffy pants,蓬松裤,1269
timestamp,时间戳,1269
as109,as109,1268
tight shirt,紧身衬衫,1268
used tissue,用过的纸巾,1268
buttjob,对接,1267
fiery hair,火热的头发,1267
inazuma eleven go chrono stone,闪电十一人去计时石,1267
ceres fauna,谷神星动物群,1266
presenting armpit,呈现腋窝,1266
shirt in mouth,衬衫在嘴里,1266
fox boy,狐狸男孩,1265
holding innertube,固定内胎,1265
spanking,打屁股,1265
black sash,黑色腰带,1264
poke ball print,戳球打印,1264
ruffling hair,蓬松的头发,1264
myoukou (kancolle),妙口 (kancolle),1263
batman (series),蝙蝠侠（系列）,1262
final fantasy xv,最终幻想 xv,1262
pink blood,粉红色的血液,1262
spirit,精神,1262
striped kimono,条纹和服,1262
crane (machine),起重机（机）,1261
elsa (frozen),艾尔莎（冷冻）,1261
handkerchief,手帕,1261
jeanne d'arc (swimsuit archer) (fate),jeanne d'arc (泳装弓箭手) (fate),1261
sports car,跑车,1261
tashkent (kancolle),塔什干 (kancolle),1261
asakura toru,朝仓彻,1260
expressive hair,富有表现力的头发,1260
konjiki no yami,konjiki no yami,1260
tina branford,蒂娜布兰福德,1260
vegeta,蔬菜,1260
noire (neptune series),黑色（海王星系列）,1259
ass cutout,屁股抠图,1258
column,专栏,1258
helena blavatsky (fate),海伦娜·布拉瓦茨基（命运）,1258
petting,抚摸,1258
tree stump,树桩,1258
horns through headwear,喇叭穿过头饰,1257
mismatched pupils,不匹配的学生,1256
show by rock!!,摇滚表演！！,1256
yuri lowell,尤里洛厄尔,1256
holding lantern,提灯,1255
oral invitation,口头邀请,1255
